id;street_address;postal_code;city;state_province
1;subsidy window;community;Fort Alekland;meanwhile after advertisement
2;but;properly dress;Pontiac;nor
3;gym;furthermore;Lake Haileyside;miserably careless arrogantly
4;negligible;ha imaginary;Murazikmouth;memorise er valentine
5;mosh uh-huh near;defiantly;Lexington-Fayette;lanky fooey quintuple
6;interchange times homeschool;obvious doodle;New Guidostad;coil broadly
7;schlep;miserably unless;Alexstad;vice obediently
8;hmph;courageously youthfully wonderfully;Lubowitztown;draw crossly
9;alongside;redevelop;Claudieland;yahoo basket
10;from when;integer going boo;Fort Alejandrin;monthly how upbeat
